Rede,Nome Fantasia,Logradouro,Bairro,Cep,Uf,Municipio,Cnpj,Aberta,Latitude,Longitude
Casas Bahia,Casas Bahia - Piracicaba 2,"Rua Governador Pedro De Toledo, 1118",Centro,13400-063,SP,Piracicaba,33041260033330,Não,-22.728465,-47.649293
Casas Bahia,Piracicaba,"Rua Governador Pedro De Toledo, 1206",Centro,13400-060,SP,Piracicaba,33041260093669,Sim,-22.726638,-47.648389
Casas Bahia,Ouro Fino,"Rua Treze De Maio, 440",Centro,37570-000,MG,Ouro Fino,33041260177927,Sim,-22.2797829,-46.3722224
Casas Bahia,Casas Bahia Shopping Center Piracicaba,"Avenida Limeira, 722",Vila Rezende,13414-018,SP,Piracicaba,33041260093740,Sim,-22.7035095,-47.6515054
Casas Bahia,Laranjal Paulista,"Largo Sao Joao, 186",Centro,18500-000,SP,Laranjal Paulista,33041260176602,Sim,-22.968613,-47.88226
Casas Bahia,Ubatuba,"Praça Nobrega, 180",Centro,11690-153,SP,Ubatuba,33041260124483,Sim,-23.4332998,-45.0725108
Casas Bahia,Aparecida 2,"Praça Doutor Benedito Meirelles, 212",Centro,12570-000,SP,Aparecida,33041260181100,Sim,-22.8469227,-45.2316701
Casas Bahia,Registro 2,"Avenida Professor Jonas Banks Leite, 593",Centro,11900-000,SP,Registro,33041260071509,Sim,-24.4952364,-47.845595
Casas Bahia,Registro,"Avenida Prefeito Jonas Banks Leite, 435",Centro,11900-000,SP,Registro,33041260093588,Sim,-24.4952364,-47.845595
Casas Bahia,Araras,"Praça Barao De Araras, 334",Centro,13600-040,SP,Araras,33041260093820,Sim,-22.355763,-47.387572
Casas Bahia,Guaratingueta 3,"Praça Conselheiro Rodrigues Alves, 268",Centro,12510-470,SP,Guaratinguetá,33041260033097,Sim,-22.7820944,-45.2524473
Casas Bahia,Guaratingueta,"Rua Doutor Martiniano, 135",Centro,12500-170,SP,Guaratinguetá,33041260123835,Sim,-22.8155268,-45.1918325
Casas Bahia,Pouso Alegre,"Avenida Doutor Lisboa, 226",Centro,37550-110,MG,Pouso Alegre,33041260132826,Sim,-22.2339468,-45.9332504
Casas Bahia,Rio Claro,"Rua 3, 1410",Centro,13500-161,SP,Rio Claro,33041260122863,Sim,-22.405966,-47.561287
Casas Bahia,Rio Claro 2,"Rua 3, 1467",Centro,13500-161,SP,Rio Claro,33041260033682,Não,-22.405966,-47.561287
Casas Bahia,Andradas,"Corronel Antonio A De Oliveira, 484",Centro,37795-000,MG,Andradas,33041260181797,Sim,-22.0709856,-46.5734039
Casas Bahia,Itajubà,"Avenida Coronel Carneiro Junior, 320",Centro,37500-018,MG,Itajubá,33041260129876,Sim,-22.4247426,-45.4562521
Casas Bahia,Sta Rita Sapucai,"Rua Silvestre Ferraz, 249",Centro,37540-000,MG,Santa Rita Do Sapucaí,33041260200848,Sim,-22.2521628,-45.7037394
Casas Bahia,Lorena,"Praça Doutor Arnolfo De Azevedo, 144",Centro,12600-210,SP,Lorena,33041260123754,Sim,-22.7312624,-45.123387
Casas Bahia,Lorena 2,"Rua Duque De Caxias, 63",Centro,12600-040,SP,Lorena,33041260032015,Não,-22.730913,-45.119378
Casas Bahia,Leme,"Avenida 29 De Agosto, 169",Centro,13610-210,SP,Leme,33041260093901,Sim,-22.209076,-47.395138
Casas Bahia,São Pedro,"Rua Verissimo Prado, 351",Santa Cruz,13520-000,SP,São Pedro,33041260159945,Sim,-22.5508681,-47.9058019
Casas Bahia,São João Da Boa Vista,"Rua Ademar De Barros, 58",Centro,13870-080,SP,São João Da Boa Vista,33041260122359,Sim,-21.971376,-46.795068
Casas Bahia,Parati,"Avenida Roberto Silveira, 0",Centro,23970-000,RJ,Paraty,33041260082209,Sim,-23.2200406,-44.7204077
Casas Bahia,Vargem Grande Do Sul,"Capitao Joao Pinto Fontao, 115",Centro,13880-000,SP,Vargem Grande Do Sul,33041260180391,Sim,-21.8326774,-46.8917293
Casas Bahia,Cruzeiro,"Avenida Major Novaes, 200",Centro,12701-330,SP,Cruzeiro,33041260123916,Sim,-22.5763601,-44.9604954
Casas Bahia,Pirassununga,"Rua Duque De Caxias, 1478",Centro,13630-095,SP,Pirassununga,33041260118084,Sim,-21.9889,-47.428617
