Rede,Nome Fantasia,Logradouro,Bairro,Cep,Ddd,Telefone,Uf,Municipio,Codigo Unidade,Cnpj,Latitude,Longitude
Yamaha,TRACAO MOTOS,AV. CONSELHEIRO AGUIAR  476,BOA VIAGEM,51011-031,081,3445-1848,PE,RECIFE,359,28628169000100,-8.0947494,-34.8845277
Yamaha,TRACAO MOTOS - CASA AMARELA,RUA PADRE LEMOS  833,CASA AMARELA,52070-200,081,3445-2504,PE,RECIFE,385,28628169000290,-8.0209529,-34.9223251
Yamaha,CASA PARAIBA,AV. VILLE ROY  7405,SAO VICENTE,69303445,095,3224-9541,RR,BOA VISTA ,472,22895064000130,2.8100969,-60.682407
Yamaha,LIRA MOTO ,AV. MAJOR WILLIAMS  1088 ,SAO FRANCISCO ,69301-110,095,3224-6600,RR,BOA VISTA ,527,07277741000163,2.8281905,-60.6688629
Yamaha,LIRAMOTO,AV. MAJOR WILLIAMS  1088,SAO FRANCISCO,69301-110,095,3224-6600,RR,BOA VISTA,136,07277741000163,2.8281905,-60.6688629
Yamaha,LIRAMOTO - ASA BRANCA,AV. GENERAL ATAIDE TEIVE  4679,ASA BRANCA,69312-242,095,3625-8944,RR,BOA VISTA,206,07277741000244,2.8178275,-60.7220919
Yamaha,PICA PAU MOTOS  - JARDIM TROPICAL,AV. XV DE NOVEMBRO  195 - TERREO,JARDIM TROPICAL,76920-000,069,3461-1480,RO,OURO PRETO DO OESTE,215,02952164000225,-10.714945,-62.253195
Yamaha,MOTO STORE,AV. LEOBERTO LEAL  250,BARREIROS,88110-001,048,3380-6000,SC,SAO JOSE,388,37592691000170,-27.5724974,-48.6047236
Yamaha,TOTAL MOTOS SBS,RUA ANTONIO KAESEMODEL  674,BOEHMERWALD,89287-650,047,3633-3767,SC,SAO BENTO DO SUL,289,83851311000272,-26.2368971,-49.3947122
Yamaha,MOTOS NENO,AV. GOVERNADOR IVO SILVEIRA  56,CANTA GALO,89163-053,047,3531-0800,SC,RIO DO SUL,201,80082555000169,-27.2069875,-49.6294735
Yamaha,GERACAO MOTOS,RUA TENENTE FRANCISCO LEHMKUHL  S/N,CENTRO,88130-040,048,3286-5544,SC,PALHOCA,128,07589321000112,-27.640329,-48.665803
Yamaha,TOTAL MOTOS,AV. FREDERICO HEYSE  494,CENTRO,89300-184,047,3642-3667,SC,MAFRA,12,83851311000191,-26.1151284,-49.8076744
Yamaha,DE MARCO MOTOS,RUA CORONEL ARTUR PEREIRA  29,CENTRO,89600-000,049,3551 8990,SC,JOACABA,330,16791325000331,-27.1732427,-51.5099131
Yamaha,GERACAO MOTOS - LAGES,AV. PRESIDENTE VARGAS  1010,PONTE GRANDE,88523-476,048,3238-5112,SC,LAGES,429,07589321000465,-27.8122335,-50.3130807
Yamaha,ATIVA MOTOS,RUA DR. JOAO COLIN  2359,AMERICA,89204-005,047,3423-0057,SC,JOINVILLE,293,15078677000110,-26.2792479,-48.8497864
Yamaha,CASA MARINE,RUA D. FRANCISCA  1600 -,SAGUACU,89221-170,047,3028-0060,SC,JOINVILLE,471,07581701000100,-26.2841339,-48.8376116
Yamaha,SANAUTICA COMERCIO,RUA OTTOKAR DOERFFEL  1112 - LOJA 01,ATIRADORES,89203-212,047,3028-0888 ,SC,JOINVILLE,580,72151269000180,-26.3188137,-48.8656403
Yamaha,GERAÇÃO MOTOS - TUBARÃO,"RUA JOSE ALBERTO NUNES, 581 - SALA 1",SÃO JOÃO (MARGEM ESQUERDA),88708352,048,3238-5112,SC,TUBARÃO,613,43316120000105,-28.4728826,-49.0249512
Yamaha,ATIVA MOTOS - JARAGUA DO SUL,AV. PREFEITO WALDEMAR GRUBBA  3721,VIEIRA,89257-002,047,3307-2520,SC,JARAGUA DO SUL,389,15078677000209,-26.4772888,-49.048786
Yamaha,FRANCAR MOTOS,AV. BEIRA RIO  627,CENTRO,89896-000,049,3677-0741,SC,ITAPIRANGA,76,04545938000148,-27.1710136,-53.7098622
Yamaha,DVR MOTOS,AV. IRINEU BORNHAUSEN  944,SAO JOAO,88305-001,047,3046-0214,SC,ITAJAI,342,21578639000390,-26.8990542,-48.6737523
Yamaha,GERAÇÃO MOTOS,"RUA CANDIDO RAMOS, 110",CAPOEIRAS,88090800,48,3240-8484,SC,FLORIANÓPOLIS,619,08153200/000196,-27.5978017,-48.6012852
Yamaha,ALENAUTICA E. NAUTICOS,R. GENERAL EURICO GASPAR DUTRA  622,ESTREITO ,88075-100,048, 3244-4466,SC,FLORIANOPOLIS,450,82899378000133,-27.592006,-48.57509599999999
